-- Logs begin at Mon 2023-10-02 15:35:54 UTC, end at Mon 2023-10-02 15:40:01 UTC. --
Oct 02 15:38:17 client systemd[1]: Starting Automated Borg Backup...
Oct 02 15:38:18 client bash[4656]: Creating archive at "borg@192.168.11.102:backups::client-etc-20231002_153817"
Oct 02 15:38:18 client bash[4656]: Synchronizing chunks cache...
Oct 02 15:38:18 client bash[4656]: Archives: 0, w/ cached Idx: 0, w/ outdated Idx: 0, w/o cached Idx: 0.
Oct 02 15:38:18 client bash[4656]: Done.
Oct 02 15:38:18 client bash[4656]: A /etc/crypttab
Oct 02 15:38:18 client bash[4656]: s /etc/mtab
Oct 02 15:38:18 client bash[4656]: A /etc/hostname
Oct 02 15:38:18 client bash[4656]: A /etc/libuser.conf
Oct 02 15:38:18 client bash[4656]: A /etc/login.defs
Oct 02 15:38:18 client bash[4656]: A /etc/vconsole.conf
Oct 02 15:38:18 client bash[4656]: s /etc/localtime
Oct 02 15:38:18 client bash[4656]: A /etc/locale.conf
Oct 02 15:38:18 client bash[4656]: A /etc/fstab
Oct 02 15:38:18 client bash[4656]: A /etc/passwd
Oct 02 15:38:18 client bash[4656]: A /etc/shadow
Oct 02 15:38:18 client bash[4656]: A /etc/gshadow
Oct 02 15:38:18 client bash[4656]: A /etc/.updated
Oct 02 15:38:18 client bash[4656]: A /etc/group
Oct 02 15:38:18 client bash[4656]: d /etc/X11/xorg.conf.d
Oct 02 15:38:18 client bash[4656]: d /etc/X11/applnk
Oct 02 15:38:18 client bash[4656]: d /etc/X11/fontpath.d
Oct 02 15:38:18 client bash[4656]: d /etc/X11
Oct 02 15:38:18 client bash[4656]: A /etc/rpm/macros.dist
Oct 02 15:38:18 client bash[4656]: d /etc/rpm
Oct 02 15:38:18 client bash[4656]: A /etc/centos-release
Oct 02 15:38:18 client bash[4656]: A /etc/centos-release-upstream
Oct 02 15:38:18 client bash[4656]: A /etc/issue
Oct 02 15:38:18 client bash[4656]: A /etc/issue.net
Oct 02 15:38:18 client bash[4656]: s /etc/os-release
Oct 02 15:38:18 client bash[4656]: s /etc/redhat-release
Oct 02 15:38:18 client bash[4656]: s /etc/system-release
Oct 02 15:38:18 client bash[4656]: A /etc/system-release-cpe
Oct 02 15:38:18 client bash[4656]: A /etc/aliases
Oct 02 15:38:18 client bash[4656]: A /etc/bashrc
Oct 02 15:38:18 client bash[4656]: A /etc/csh.cshrc
Oct 02 15:38:18 client bash[4656]: A /etc/csh.login
Oct 02 15:38:18 client bash[4656]: A /etc/environment
Oct 02 15:38:18 client bash[4656]: A /etc/exports
Oct 02 15:38:18 client bash[4656]: A /etc/filesystems
Oct 02 15:38:18 client bash[4656]: A /etc/host.conf
Oct 02 15:38:18 client bash[4656]: A /etc/hosts
Oct 02 15:38:18 client bash[4656]: A /etc/hosts.allow
Oct 02 15:38:18 client bash[4656]: A /etc/hosts.deny
Oct 02 15:38:18 client bash[4656]: A /etc/inputrc
Oct 02 15:38:18 client bash[4656]: A /etc/motd
Oct 02 15:38:18 client bash[4656]: A /etc/printcap
Oct 02 15:38:18 client bash[4656]: A /etc/profile
Oct 02 15:38:18 client bash[4656]: A /etc/protocols
Oct 02 15:38:18 client bash[4656]: A /etc/securetty
Oct 02 15:38:18 client bash[4656]: A /etc/services
Oct 02 15:38:18 client bash[4656]: s /etc/rc.local
Oct 02 15:38:18 client bash[4656]: A /etc/shells
Oct 02 15:38:18 client bash[4656]: A /etc/subgid
Oct 02 15:38:18 client bash[4656]: A /etc/subuid
Oct 02 15:38:18 client bash[4656]: d /etc/opt
Oct 02 15:38:18 client bash[4656]: A /etc/ld.so.conf
Oct 02 15:38:18 client bash[4656]: A /etc/nsswitch.conf.bak
Oct 02 15:38:18 client bash[4656]: A /etc/rpc
Oct 02 15:38:18 client bash[4656]: d /etc/popt.d
Oct 02 15:38:18 client bash[4656]: s /etc/init.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc2.d/S10network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc2.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc2.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc6.d/K90network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc6.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc6.d
Oct 02 15:38:18 client bash[4656]: A /etc/rc.d/rc.local
Oct 02 15:38:18 client bash[4656]: A /etc/rc.d/init.d/README
Oct 02 15:38:18 client bash[4656]: A /etc/rc.d/init.d/functions
Oct 02 15:38:18 client bash[4656]: A /etc/rc.d/init.d/netconsole
Oct 02 15:38:18 client bash[4656]: A /etc/rc.d/init.d/network
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/init.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc3.d/S10network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc3.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc3.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc0.d/K90network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc0.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc0.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc4.d/S10network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc4.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc4.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc1.d/K90network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc1.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc1.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc5.d/S10network
Oct 02 15:38:18 client bash[4656]: s /etc/rc.d/rc5.d/K50netconsole
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d/rc5.d
Oct 02 15:38:18 client bash[4656]: d /etc/rc.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc0.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc1.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc2.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc3.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc4.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc5.d
Oct 02 15:38:18 client bash[4656]: s /etc/rc6.d
Oct 02 15:38:18 client bash[4656]: A /etc/GREP_COLORS
Oct 02 15:38:18 client bash[4656]: A /etc/aliases.db
Oct 02 15:38:18 client bash[4656]: A /etc/resolv.conf
Oct 02 15:38:18 client bash[4656]: A /etc/libaudit.conf
Oct 02 15:38:18 client bash[4656]: A /etc/libnl/classid
Oct 02 15:38:18 client bash[4656]: A /etc/libnl/pktloc
Oct 02 15:38:18 client bash[4656]: d /etc/libnl
Oct 02 15:38:18 client bash[4656]: A /etc/magic
Oct 02 15:38:18 client bash[4656]: A /etc/request-key.conf
Oct 02 15:38:18 client bash[4656]: A /etc/request-key.d/id_resolver.conf
Oct 02 15:38:18 client bash[4656]: A /etc/request-key.d/cifs.idmap.conf
Oct 02 15:38:18 client bash[4656]: A /etc/request-key.d/cifs.spnego.conf
Oct 02 15:38:18 client bash[4656]: d /etc/request-key.d
Oct 02 15:38:18 client bash[4656]: A /etc/fuse.conf
Oct 02 15:38:18 client bash[4656]: A /etc/virc
Oct 02 15:38:18 client bash[4656]: A /etc/DIR_COLORS.lightbgcolor
Oct 02 15:38:18 client bash[4656]: A /etc/python/cert-verification.cfg
Oct 02 15:38:18 client bash[4656]: d /etc/python
Oct 02 15:38:18 client bash[4656]: A /etc/netconfig
Oct 02 15:38:18 client bash[4656]: A /etc/cron.daily/logrotate
Oct 02 15:38:18 client bash[4656]: A /etc/cron.daily/man-db.cron
Oct 02 15:38:18 client bash[4656]: d /etc/cron.daily
Oct 02 15:38:18 client bash[4656]: A /etc/logrotate.conf
Oct 02 15:38:18 client bash[4656]: A /etc/idmapd.conf
Oct 02 15:38:18 client bash[4656]: A /etc/my.cnf
Oct 02 15:38:18 client bash[4656]: A /etc/.pwd.lock
Oct 02 15:38:18 client bash[4656]: A /etc/gshadow-
Oct 02 15:38:18 client bash[4656]: A /etc/group-
Oct 02 15:38:18 client bash[4656]: A /etc/yum.conf
Oct 02 15:38:18 client bash[4656]: A /etc/dracut.conf
Oct 02 15:38:18 client bash[4656]: A /etc/modprobe.d/nofloppy.conf
